"Date","Price","Open","High","Low","Vol.","Change %"
"02/13/2024","2,930.20","2,911.00","2,958.00","2,908.00","3.86M","0.88%"
"02/12/2024","2,904.70","2,921.50","2,922.00","2,884.70","3.34M","-0.58%"
"02/09/2024","2,921.50","2,908.00","2,943.95","2,901.90","6.28M","0.73%"
"02/08/2024","2,900.25","2,900.00","2,918.95","2,855.05","7.35M","0.55%"
"02/07/2024","2,884.30","2,871.85","2,899.00","2,858.50","4.65M","1.01%"
"02/06/2024","2,855.60","2,883.70","2,883.70","2,839.65","4.52M","-0.78%"
"02/05/2024","2,878.05","2,921.50","2,941.00","2,863.05","4.41M","-1.28%"
"02/02/2024","2,915.40","2,866.35","2,949.80","2,866.35","9.83M","2.18%"
"02/01/2024","2,853.30","2,870.00","2,886.70","2,836.10","6.67M","0.00%"
"01/31/2024","2,853.25","2,808.00","2,868.50","2,805.00","7.57M","1.35%"
"01/30/2024","2,815.25","2,919.90","2,919.95","2,808.85","7.05M","-2.79%"
"01/29/2024","2,896.10","2,729.00","2,905.00","2,720.35","11.95M","7.02%"
"01/25/2024","2,706.15","2,685.90","2,728.30","2,670.40","5.90M","0.68%"
"01/24/2024","2,687.75","2,670.45","2,699.00","2,647.85","10.96M","1.15%"
"01/23/2024","2,657.15","2,743.50","2,743.50","2,645.10","10.03M","-2.07%"
"01/20/2024","2,713.30","2,730.00","2,766.95","2,700.00","3.64M","-0.79%"
"01/19/2024","2,734.90","2,752.00","2,752.00","2,718.00","5.21M","-0.04%"
"01/18/2024","2,735.90","2,702.80","2,742.00","2,702.50","5.14M","0.47%"
"01/17/2024","2,723.15","2,719.00","2,772.55","2,710.05","6.10M","-0.95%"
"01/16/2024","2,749.25","2,779.95","2,792.60","2,741.00","4.53M","-1.40%"
"01/15/2024","2,788.25","2,750.00","2,792.90","2,732.00","4.31M","1.71%"
"01/12/2024","2,741.45","2,719.80","2,746.65","2,691.50","7.51M","0.80%"
"01/11/2024","2,719.80","2,659.00","2,725.00","2,657.00","11.86M","2.63%"
"01/10/2024","2,650.10","2,577.00","2,659.00","2,575.05","5.55M","2.70%"
"01/09/2024","2,580.50","2,600.00","2,606.80","2,577.20","2.70M","-0.26%"
"01/08/2024","2,587.35","2,610.00","2,631.95","2,568.95","3.87M","-0.78%"
"01/05/2024","2,607.70","2,602.90","2,619.85","2,598.00","4.04M","0.43%"
"01/04/2024","2,596.65","2,588.00","2,609.85","2,579.10","4.81M","0.52%"
"01/03/2024","2,583.30","2,610.00","2,634.00","2,577.20","4.52M","-1.09%"
"01/02/2024","2,611.70","2,585.00","2,615.00","2,573.00","3.72M","0.83%"
"01/01/2024","2,590.25","2,580.55","2,606.85","2,573.15","2.02M","0.21%"
"12/29/2023","2,584.95","2,611.10","2,614.00","2,579.30","5.43M","-0.79%"
"12/28/2023","2,605.55","2,589.80","2,612.00","2,586.85","6.15M","0.72%"
